date,mentions,followers,price,target
2021-01-01,2.0,1720596852.0,17.25,0
2021-01-02,1.0,1633287667.0,17.25,0
2021-01-03,2.0,1043636145.0,17.25,0
2021-01-04,2.0,1760137154.0,17.25,0
2021-01-05,2.0,2277718783.0,17.37,0
2021-01-06,1.0,1621526633.0,18.36,1
2021-01-07,3.0,2278926705.0,18.08,1
2021-01-08,2.0,2059609065.0,17.69,1
2021-01-09,3.0,2015345671.0,17.69,1
2021-01-10,5.0,1005416792.0,19.94,1
2021-01-11,3.0,1849939777.0,19.94,1
2021-01-12,7.0,2849609935.0,19.95,1
2021-01-13,10.0,3282917345.0,31.4,1
2021-01-14,8.0,2891851726.0,39.91,1
2021-01-15,1.0,2544727780.0,35.5,1
2021-01-16,2.0,2651957715.0,35.5,1
2021-01-17,3.0,2061822980.0,39.36,1
2021-01-18,1.0,2530165460.0,39.36,1
2021-01-19,3.0,1866824935.0,39.36,0
2021-01-20,6.0,2829038215.0,39.12,1
2021-01-21,6.0,2596090574.0,43.03,1
2021-01-22,21.0,3013071604.0,65.01,1
2021-01-23,5.0,2830607445.0,65.01,1
2021-01-24,12.0,1830970013.0,76.79,1
2021-01-25,62.0,4704374689.0,76.79,1
2021-01-26,80.0,2203010325.0,147.98,1
2021-01-27,153.0,2348106829.0,347.51,1
2021-01-28,216.0,4617592064.0,193.6,1
2021-01-29,165.0,2858857552.0,325.0,1
2021-01-30,50.0,1906062712.0,325.0,1
2021-01-31,34.0,2349835636.0,225.0,1
2021-02-01,92.0,2693000907.0,225.0,0
2021-02-02,114.0,3451893148.0,90.0,0
2021-02-03,62.0,3518700013.0,92.41,0
2021-02-04,51.0,4591336399.0,53.5,0
2021-02-05,38.0,3232552379.0,63.77,0
2021-02-06,13.0,3848868668.0,63.77,0
2021-02-07,18.0,5859915869.0,60.0,0
2021-02-08,12.0,5843792368.0,60.0,0
2021-02-09,25.0,2944765348.0,50.31,0
2021-02-10,32.0,4294584735.0,51.2,0
2021-02-11,25.0,4654186595.0,51.1,0
2021-02-12,22.0,6850332852.0,52.4,0
2021-02-13,9.0,3577858028.0,52.4,0
2021-02-14,6.0,7865921263.0,49.51,0
2021-02-15,11.0,5825881513.0,49.51,0
2021-02-16,20.0,7585404119.0,49.51,0
2021-02-17,52.0,6079679693.0,45.94,0
2021-02-18,149.0,8549367666.0,40.69,0
2021-02-19,51.0,8495130943.0,40.59,0
2021-02-20,10.0,6395793750.0,40.59,0
2021-02-21,13.0,6709939991.0,46.0,0
2021-02-22,19.0,8933873152.0,46.0,1
2021-02-23,28.0,10590423835.0,44.97,1
2021-02-24,134.0,13003522340.0,91.71,1
2021-02-25,179.0,11611273256.0,108.73,1
2021-02-26,69.0,13164100740.0,101.74,1
2021-02-27,25.0,15584639198.0,101.74,1
2021-02-28,19.0,19180205891.0,120.4,1
2021-03-01,31.0,34468569707.0,120.4,1
2021-03-02,48.0,34276587774.0,118.18,1
2021-03-03,40.0,34686577620.0,124.18,1
2021-03-04,57.0,57423221299.0,132.35,1
2021-03-05,0.0,8127690634.0,132.35,1
